course number,section,name,instructor,instructor 2,is full,description
E3900,005,UNDERGRAD RESEARCH OR PROJECT,Antonius B Dieker,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,006,UNDERGRAD RESEARCH OR PROJECT,Adam N Elmachtoub,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,007,UNDERGRAD RESEARCH OR PROJECT,Yuri Faenza,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,008,UNDERGRAD RESEARCH OR PROJECT,Donald Goldfarb,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,009,UNDERGRAD RESEARCH OR PROJECT,Vineet Goyal,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,010,UNDERGRAD RESEARCH OR PROJECT,Ali Hirsa,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,011,UNDERGRAD RESEARCH OR PROJECT,Garud Iyengar,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,012,UNDERGRAD RESEARCH OR PROJECT,Hardeep Johar,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,013,UNDERGRAD RESEARCH OR PROJECT,Soulaymane Kachani,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,014,UNDERGRAD RESEARCH OR PROJECT,Daniel Lacker,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,015,UNDERGRAD RESEARCH OR PROJECT,Henry Lam,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,016,UNDERGRAD RESEARCH OR PROJECT,Dylan Possamai,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,017,UNDERGRAD RESEARCH OR PROJECT,Jay Sethuraman,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,018,UNDERGRAD RESEARCH OR PROJECT,Karl Sigman,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,019,UNDERGRAD RESEARCH OR PROJECT,Clifford Stein,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,020,UNDERGRAD RESEARCH OR PROJECT,Van Anh Truong,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,021,UNDERGRAD RESEARCH OR PROJECT,Ward Whitt,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,022,UNDERGRAD RESEARCH OR PROJECT,David D Yao,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,023,UNDERGRAD RESEARCH OR PROJECT,Xunyu Zhou,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,024,UNDERGRAD RESEARCH OR PROJECT,Jenny S Mak,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3999,001,FIELDWORK,Karl Sigman,,false,
E4004,001,INTRO TO OR-DETERMINSTC MODELS,Daniel Bienstock,,false," This graduate course is only for MS&E, IE and OR students.  This is also required for students in the Undergraduate Advanced Track. For students who have not studied linear programming. Some of the main methods used in IEOR applications involving deterministic models: linear programming, the simplex method, nonlinear, integer and dynamic programming.   "
E4004,R01,INTRO-OPER RSRCH-DETERMNTC MDL,,,true," This graduate course is only for MS&E, IE and OR students.  This is also required for students in the Undergraduate Advanced Track. For students who have not studied linear programming. Some of the main methods used in IEOR applications involving deterministic models: linear programming, the simplex method, nonlinear, integer and dynamic programming.   "
E4102,001,STOCHASTIC MODELING FOR MSE,Karl Sigman,,false,"Prerequisites: IEOR E4101  Introduction to stochastic processes and model, with emphasis on applications to engineering and management; random walks, gambler's ruin problem, Markov chains in both discrete and continuous time, Poisson processes, renewal processes, stopping times, Wald's equation, binomial lattice model for pricing risky assets, simple option pricing; simulation of simple stochastic processes, Brownian motion, and geometric Brownian motion. This course is a specialized version of IEOR E4106 for MSE students.   "
E4106,001,INTRO TO OR-STOCHASTIC MODELS,Karl Sigman,,false,"Prerequisites: (STAT GU4001)   This graduate course is only for MS&E, IE and OR students. This is also required for students in the Undergraduate Advanced Track. Some of the main stochastic models used in engineering and operations research applications: discrete-time Markov chains, Poisson processes, birth-and-death processes, and other continuous Markov chains, renewal reward processes. Applications: queueing, reliability, inventory, and finance.  "
E4106,R01,INTRO TO OR-STOCHASTIC MODELS,,,true,"Prerequisites: (STAT GU4001)   This graduate course is only for MS&E, IE and OR students. This is also required for students in the Undergraduate Advanced Track. Some of the main stochastic models used in engineering and operations research applications: discrete-time Markov chains, Poisson processes, birth-and-death processes, and other continuous Markov chains, renewal reward processes. Applications: queueing, reliability, inventory, and finance.  "
E4111,001,OPERATIONS CONSULTING,Soulaymane Kachani,,false,"Prerequisites: Probability and Statistics at the level of SIEO W3600 or SIEO W4150, and Deterministic Models at the level of IEOR E3608 or IEOR E4004, or instructor permission.  This course is for MS-MS&E students only. This course aims to develop and harness the modeling, analytical and managerial skills of engineering students and apply them to improve the operations of both service and manufacturing firms. The course is structured as a hands-on laboratory in which students ""learn by doing"" on real-world consulting projects (October to May). The student teams focus on identifying, modeling and testing (and sometimes implementing) operational improvements and innovations with high potential to enhance the profitability and/or achieve sustainable competitive advantage for their sponsor companies. The course is targeted toward students planning careers in technical consulting (including operations consulting) and management consulting, or pursuing positions as business analysts in operations, logistics, supply chain and revenue management functions, positions in general management and future entrepreneurs.  "
E4208,001,SEM IN HUMAN FACTORS DESIGN,Leon S Gold,,false,"Prerequisites: (IEOR E4207) or IEOR E4207: Human Factors: Performance or the instructor's permission.  This course is an elective undergraduate students majoring in IE. This course is an advance seminar in the field of human factors. A significant part of the course will explore methodologies and tools that facilitate the integration of psychological and human factor research in the design of new products and processes. The first part of the seminar will discuss methodological issues associated with human factor research and product evaluation. The second part of the seminary will address specific ""user centered"" methodologies (ISO, ANSI) that support the design process. The third part of the course will explore alternative product evaluation techniques. Students will be required to critique scientific research articles in class, and to perform a usability evaluation of a redesigned product. This is a seminar and therefore class participation is important. The opportunity to pursue individual interests in human factors (e.g. consumer, financial and medical product design, human computer interaction, stress, error analysis, usability evaluation, augmented cognition) is strongly encouraged.  "
E4211,001,APPLIED CONSULTING,Mark Herman,,false,
E4211,002,APPLIED CONSULTING,Mark Herman,,true,
E4307,001,STATISTICS AND DATA ANALYSIS,Antonius B Dieker,,false,"Prerequisites: Probability, linear algebra.  Descriptive statistics, central limit theorem, parameter estimation, sufficient statistics, hypothesis testing, regression, logistic regression, goodness-of-fit tests, applications to operations research models.  "
E4404,001,SIMULATION,,,true,"Prerequisites: (SIEO W3600) or (STAT GU4001) and computer programming. Corequisites: IEOR E3106,IEOR E4106  This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. This course is also required for MSIE and MSOR. Graduate students must register for 3 points. Undergraduate students must register for 4 points. Generation of random numbers from given distributions; variance reduction; statistical output analysis; introduction to simulation languages; application to financial, telecommunications, computer, and production systems. Students who have taken IEOR E4703 Monte Carlo simulation may not register for this course for credit. Recitation section required.  "
E4404,R01,SIMULATION,,,true,"Prerequisites: (SIEO W3600) or (STAT GU4001) and computer programming. Corequisites: IEOR E3106,IEOR E4106  This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. This course is also required for MSIE and MSOR. Graduate students must register for 3 points. Undergraduate students must register for 4 points. Generation of random numbers from given distributions; variance reduction; statistical output analysis; introduction to simulation languages; application to financial, telecommunications, computer, and production systems. Students who have taken IEOR E4703 Monte Carlo simulation may not register for this course for credit. Recitation section required.  "
E4405,001,PRODUCTION SCHEDULING,Clifford Stein,,false,"Prerequisites: (SIEO W3600) and (IEOR E3608) and  computer programming.  This course is required for undergraduate students majoring in IE and OR. Job shop scheduling: parallel machines, machines in series; arbitrary job shops. Algorithms, complexity, and worst-case analysis. Effects of randomness: machine breakdowns, random processing time. Term project.   "
E4412,001,QUALITY CONTROL AND MANAGEMENT,Sufian Ikhmeis,,false,"Prerequisites: (SIEO W3600) or (STAT GU4001)   This course is required for undergraduate students majoring in IE. Statistical methods for quality control and improvement: graphical methods, introduction to experimental design and reliability engineering and the relationships between quality and productivity. Contemporary methods used by manufacturing and service organizations in product and process design, production and delivery of products and service.   "
E4418,001,TRANSPORTATION ANLAYTICS & LOG,Adam N Elmachtoub,,false,"Prerequisites: (IEOR E3608 or IEOR E4404 or IEOR E4007 or CSOR W4231 or CSOR W4246) and (IEOR E3106 or IEOR E4307 or SIEO W3600 or IEOR E4100 or IEOR E4101 or IEOR E4150 or STAT GR5701 or STAT GR5703) or IEOR 3608 or IEOR 4404 or permission of instructor.  Introduces quantitative techniques and state-of-the-art practice of operations research relevant to the design and both the tactical and strategic management of logistical and transportation systems. Discusses a wide variety of passenger and freight systems, including air, urban and highway traffic, rail, and maritime systems. Explores the practice of revenue management and dynamic pricing. Through case studies, analyzes successes and failures in third-party logistics, postal, truck and rail pickup and delivery systems. Investigates large-scale integrated logistics and transportation systems and studies the underlying principles governing transportation planning, investment and operations.  "
E4510,001,PROJECT MANAGEMENT,Moshe Rosenwein,,true,"Prerequisites: (IEOR E4004) or (IEOR E3608)   Management of complex project and the tools that are available to assist managers with such projects. Topics include project selection, project teams and organizational issues, project monitoring and control, project risk management, project resource management, and managing multiple projects.   "
E4521,001,SYSTEM ENGI TOOLS/METHODS,Ebad Jahangir,,false,
E4523,001,DATA ANALYTICS FOR OR,Yair Avgar,,false,
E4524,001,INDUSTRY PROJECTS ANALYTICS,Hardeep Johar,,false,
E4525,001,MACHINE LEARNING OR & FE,,,false,
E4525,R01,MACHINE LEARNING OR & FE,,,true,
E4540,001,DATA MINING FOR ENGINEERS,Krzysztof M Choromanski,,false,
E4560,001,THE LEAN LAUNCH PAD,Steven Blank,,true,
E4561,001,LAUNCH YOUR STARTUP:TECH,Owen E Davis,,false,
E4570,001,HACKING FOR ENERGY,Julia A Byrd,,false,
E4573,001,COMPUTATIONAL DISCRETE OPTIMIZ,Yuri Faenza,,false," Intensive project-based seminar with emphasis on multi-disciplinary approach to front-end and product design, strategy formulation and implementation, and agile application of tech-driven concepts in actual business settings. Focus on practical development and execution of inventive design-centric solutions coupled with deep industrial, operational, and business analyses. Topics include industrial product and web design as well as UX and UI, Scrum, Kanban, and the dynamics of entrepreneurial/venture-capital financing relevant to technical (co-)founders. Guest speakers, field trips, and interaction with domain experts. Projects include work with a Fortune 500 corporation and an entrepreneurial portfolio company. Social good project of a New York-based small or not-for-profit business. Product Design Sprint and Agile Development, working on all aspects of exploration, ideation, design, refinement, prototype buildup, and validation. Simultaneous work on engineering and tech-driven briefs (including field-testing) addressing real-life business challenges. Limited enrollment by application: requires signing of Non-Disclosure Agreement for class projects. Proficiency in math, statistics, coding, and/or database management/analysis are recommended.  "
E4574,001,ANALYTICS ON THE CLOUD,Hardeep Johar,,false," This course prepares students to gather, describe, and analyze data, using advanced statistical tools to support operations, risk management, and response to disruptions. Analysis is done targeting economic and financial decisions in complex systems that involve multiple partners. Topics include: probability, statistics, hypothesis testing, experimentation, and forecasting. Prerequisite: Stat-IEOR 4150 or equivalent. "
E4577,001,OR METHODS IN MARKETING,Khosrow Dehnad,,false,
E4578,001,TOOLS FOR ANALYTICS,Paul Bulkley-Logston,,false,"Prerequisites: Must be registered in the Management Science and Engineering (MSE) MS Program  Students will engage, learn and share their experiences in order to make meaning of professional development. The instructional team hopes that the students will obtain the following: -Gain familiarity and insight to the US job market and US career culture; recognize the skills necessary to compete effectively. -Increase student professional intelligence, develop own professional self and identify developmental needs. -Obtain information on employment trends, resources and networking opportunities. -Refine resume writing, interviewing, and job search skills. -Establish a collaborative relationship with the instructional team and provide constructive feedback where appropriate to enhance the student's professional development.  "
E4579,001,RISK MANAGEMENT FROM C-SUITE P,,,false," Students will engage, learn and share their experiences in order to make meaning of professional development. The instructional team hopes that the students will obtain the following: gain familiarity and insight to the US job market and US career culture; recognize the skills necessary to compete effectively; increase student professional intelligence, develop own professional self and identify developmental needs; obtain information on employment trends, resources and networking opportunities; refine resume writing, interviewing, and job search skills; establish a collaborative relationship with the instructional team and provide constructive feedback where appropriate to enhance the student's professional development.  "
E4601,001,DYNAMIC PRICING/REVENUE MGMT,Van Anh Truong,,true,"Prerequisites: (STAT GU4001) and (IEOR E4004)   Focus on capacity allocation, dynamic pricing and revenue management. Perishable and/or limited product and pricing implications. Applications to various industries including service, airlines, hotel, resource rentals, etc.  "
E4601,R01,DYNAMIC PRICING/REVENUE MGMNT,,,true,"Prerequisites: (STAT GU4001) and (IEOR E4004)   Focus on capacity allocation, dynamic pricing and revenue management. Perishable and/or limited product and pricing implications. Applications to various industries including service, airlines, hotel, resource rentals, etc.  "
E4602,001,QUANTITATIVE RISK MANAGEMENT,,,false,"Prerequisites: (STAT GU4001) and (IEOR E4106)   Risk management models and tools; measure risk using statistical and stochastic methods, hedging and diversification. Examples of this include insurance risk, financial risk, and operational risk. Topics covered include VaR, estimating rare events, extreme value analysis, time series estimation of extremal events; axioms of risk measures, hedging using financial options, credit risk modeling, and various insurance risk models.  "
E4630,001,ASSET ALLOCATION,Miquel Noguer Alonso,,true,"Prerequisites: (IEOR E4700)   Models for pricing and hedging equity, fixed-income, credit-derivative securities, standard tools for hedging and risk management, models and theoretical foundations for pricing equity options (standard European, American equity options, Asian options), standard Black-Scholes model (with multiasset extension), asset allocation, portfolio optimization, investments over longtime horizons, and pricing of fixed-income derivatives (Ho-Lee, Black-Derman-Toy, Heath-Jarrow-Morton interest rate model).   "
E4630,R01,ASSET ALLOCATION,,,true,"Prerequisites: (IEOR E4700)   Models for pricing and hedging equity, fixed-income, credit-derivative securities, standard tools for hedging and risk management, models and theoretical foundations for pricing equity options (standard European, American equity options, Asian options), standard Black-Scholes model (with multiasset extension), asset allocation, portfolio optimization, investments over longtime horizons, and pricing of fixed-income derivatives (Ho-Lee, Black-Derman-Toy, Heath-Jarrow-Morton interest rate model).   "
E4650,001,BUSINESS ANALYTICS,Adam N Elmachtoub,,false,"Prerequisites: (STAT GU4001) or (IEOR E4150)   In this course, you will learn how to identify, evaluate, and capture business analytic opportunities that create value. Toward this end, you will learn basic analytical methods and analyze case studies on organizations that successfully deployed these techniques. In the first part of the course, we focus on how to use data to develop insights and predictive capabilities using machine learning and data mining techniques. In the second part, we focus on the use of optimization and simulation to support prescriptive decision-making in the presence of a large number of alternatives and business constraints. Finally, throughout the course, we explore the challenges that can arise in implementing analytical approaches within an organization.  "
E4650,002,BUSINESS ANALYTICS FOR OR,Adam N Elmachtoub,,false,"Prerequisites: (STAT GU4001) or (IEOR E4150)   In this course, you will learn how to identify, evaluate, and capture business analytic opportunities that create value. Toward this end, you will learn basic analytical methods and analyze case studies on organizations that successfully deployed these techniques. In the first part of the course, we focus on how to use data to develop insights and predictive capabilities using machine learning and data mining techniques. In the second part, we focus on the use of optimization and simulation to support prescriptive decision-making in the presence of a large number of alternatives and business constraints. Finally, throughout the course, we explore the challenges that can arise in implementing analytical approaches within an organization.  "
E4650,R01,BUSINESS ANALYTICS FOR OR REC,,,true,"Prerequisites: (STAT GU4001) or (IEOR E4150)   In this course, you will learn how to identify, evaluate, and capture business analytic opportunities that create value. Toward this end, you will learn basic analytical methods and analyze case studies on organizations that successfully deployed these techniques. In the first part of the course, we focus on how to use data to develop insights and predictive capabilities using machine learning and data mining techniques. In the second part, we focus on the use of optimization and simulation to support prescriptive decision-making in the presence of a large number of alternatives and business constraints. Finally, throughout the course, we explore the challenges that can arise in implementing analytical approaches within an organization.  "
E4700,001,INTRO TO FINANCIAL ENGINEERING,Emanuel Derman,,false,"Prerequisites: (IEOR E3106) or (IEOR E4106)   This course is required for undergraduate students majoring in OR:FE. Introduction to investment and financial instruments via portfolio theory and derivative securities, using basic operations research/engineering methodology. Portfolio theory, arbitrage; Markowitz model, market equilibrium, and the capital asset pricing model. General models for asset price fluctuations in discrete and continuous time. Elementary introduction to Brownian motion and geometric Brownian motion. Option theory; Black-Scholes equation and call option formula. Computational methods such as Monte Carlo simulation.   "
E4700,R01,INTRO TO FINANCIAL ENGINEERING,,,true,"Prerequisites: (IEOR E3106) or (IEOR E4106)   This course is required for undergraduate students majoring in OR:FE. Introduction to investment and financial instruments via portfolio theory and derivative securities, using basic operations research/engineering methodology. Portfolio theory, arbitrage; Markowitz model, market equilibrium, and the capital asset pricing model. General models for asset price fluctuations in discrete and continuous time. Elementary introduction to Brownian motion and geometric Brownian motion. Option theory; Black-Scholes equation and call option formula. Computational methods such as Monte Carlo simulation.   "
E4703,001,MONTE CARLO SIMULATION METHODS,Ali Hirsa,,false,"Prerequisites: (IEOR E4701)   This graduate course is only for MS Program in FE students. Multivariate random number generation, bootstrapping, Monte Carlo simulation, efficiency improvement techniques. Simulation output analysis, Markov-chain Monte Carlo. Applications to financial engineering. Introduction to financial engineering simulation software and exposure to modeling with real financial data. Note: Students who have taken IEOR E4404 Simulation may not register for this course for credit. "
E4703,R01,MONTE CARLO SIMULATION METHODS,,,true,"Prerequisites: (IEOR E4701)   This graduate course is only for MS Program in FE students. Multivariate random number generation, bootstrapping, Monte Carlo simulation, efficiency improvement techniques. Simulation output analysis, Markov-chain Monte Carlo. Applications to financial engineering. Introduction to financial engineering simulation software and exposure to modeling with real financial data. Note: Students who have taken IEOR E4404 Simulation may not register for this course for credit. "
E4707,001,FE: CONTINUOUS TIME MODELS,Xunyu Zhou,,false,"Prerequisites: (IEOR E4701)   This graduate course is only for MS Program in FE students.  Modeling, analysis, and computation of derivative securities. Application of stochastic calculus and stochastic differential equations. Numerical techniques: finite-difference, binomial method, and Monte Carlo.  "
E4707,R01,CONTINUE TIME ASSET PRICING  R,,,true,"Prerequisites: (IEOR E4701)   This graduate course is only for MS Program in FE students.  Modeling, analysis, and computation of derivative securities. Application of stochastic calculus and stochastic differential equations. Numerical techniques: finite-difference, binomial method, and Monte Carlo.  "
E4709,001,STATISTICAL ANALYSIS & TIME SE,Agostino Capponi,,false,"Prerequisites: Probability. Corequisites: IEOR E4706,IEOR E4702  This graduate course is only for MS Program in FE students. Empirical analysis of asset prices: heavy tails, test of the predictability of stock returns. Financial time series: ARMA, stochastic volatility, and GARCH models. Regression models: linear regression and test of CAPM, nonlinear regression and fitting of term structures.   "
E4709,R01,DATA ANALYSIS FOR FIN ENGIN RE,,,true,"Prerequisites: Probability. Corequisites: IEOR E4706,IEOR E4702  This graduate course is only for MS Program in FE students. Empirical analysis of asset prices: heavy tails, test of the predictability of stock returns. Financial time series: ARMA, stochastic volatility, and GARCH models. Regression models: linear regression and test of CAPM, nonlinear regression and fitting of term structures.   "
E4720,001,DEEP LEARNING,Ali Hirsa,,true,"Prerequisites: (IEOR E4700) and additional prerequisites will be announced depending on offering.  Selected topics of interest in the area of quantitative finance. Offerings vary each year; some topics include energy derivatives, experimental finance, foreign exchange and related derivative instruments, inflation derivatives, hedge fund management, modeling equity derivatives in Java, mortgage-backed securities, numerical solutions of partial differential equations, quantitative portfolio management, risk management, trade and technology in financial markets.  "
E4729,001,MODEL BASED TRADING,Kenneth Gleason,,false,"Prerequisites: (IEOR E4701) and (IEOR E4706)   This graduate course is only for MS Program in FE students, offered during the summer session. This core curriculum course introduces students pursuing a graduate degree in financial engineering to the main areas and concepts of modern finance. The course's objective is to provide an introduction to financial institutions, financial markets, and risk management as well as the broadest possible perspective on how financial theory and real-life practice interact, preparing students for successful careers in the financial industry and paving the way for in-depth studies that follow.  "
E4734,001,FOR EXCH/RELATD DERIVATVS INST,David Derosa,,false,"Prerequisites: (IEOR E4700)   Foreign exchange market and its related derivative instruments - the latter being forward contracts, futures, options, and exotic options. What is unusual about foreign exchange is that although it can rightfully claim to be the largest of all financial markets it remains an area where very few have any meaningful experience. Virtually everyone has traded stocks, bonds, and mutual funds. Comparatively few individuals have ever traded foreign exchange. In part that is because foreign exchange is an interbank market. Yet ironically the foreign exchange markets may be the best place to trade derivatives and invent new derivatives - given the massive two-way flow of trading that goes though bank dealing rooms virtually twenty-four hours a day. And most of that is transacted at razor-thin margins, at least comparatively speaking, a fact that makes the foreign exchange market an ideal platform for derivatives. The emphasis is on familiarizing the student with the nature of the foreign exchange market and those factors that make it special among financial markets, enabling the student to gain a deeper understanding of the related market for derivatives on foreign exchange.  "
E4900,001,MASTERS RESEARCH OR PROJECT,Shipra Agrawal,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,002,MASTERS RESEARCH OR PROJECT,Daniel Bienstock,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,003,MASTERS RESEARCH OR PROJECT,Agostino Capponi,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,004,MASTERS RESEARCH OR PROJECT,Emanuel Derman,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,005,MASTERS RESEARCH OR PROJECT,Antonius B Dieker,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,006,MASTERS RESEARCH OR PROJECT,Adam N Elmachtoub,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,007,MASTERS RESEARCH OR PROJECT,Yuri Faenza,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,008,MASTERS RESEARCH OR PROJECT,Donald Goldfarb,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,009,MASTERS RESEARCH OR PROJECT,Vineet Goyal,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,010,MASTERS RESEARCH OR PROJECT,Ali Hirsa,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,011,MASTERS RESEARCH OR PROJECT,Garud Iyengar,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,012,MASTERS RESEARCH OR PROJECT,Hardeep Johar,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,013,MASTERS RESEARCH OR PROJECT,Soulaymane Kachani,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,014,MASTERS RESEARCH OR PROJECT,Daniel Lacker,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,015,MASTERS RESEARCH OR PROJECT,Henry Lam,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E4900,016,MASTERS RESEARCH OR PROJECT,Dylan Possamai,,false,"Prerequisites: Approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
